asin,price_amazon
B071XTXXSR,1057.36
B002J9G5ZO,264.59
B00D8GKFUS,173.17
B0756CYWWD,330.34
B01BV13S7S,141.42
B01N6JQS8C,37.48
B01L8EF862,61.48
B00020H2MM,86.96
B079Y7ZFD4,98.96
B01BDAYKEM,1074.61
B00OWAZUB8,198.42
B076HP574T,461.09
B00020H2MW,317.34
B00JPJ20EQ,247.17
B00VUK4R08,270.84
B06XSMW4SC,1341.36
B00M17R1UM,99.96
B00BHBWWFW,2842.09
B01N7WMKJT,2664.09
B077XQ5W4K,92.12
B00RZURDSU,168.49
B00NBMHY58,192.74
B01MSD6RNP,36.31
B005TI0VMA,76.62
B000WYK0SQ,124.62
B01LYFKX41,249.24
B06Y15DWXZ,482.48
B01DOL05OC,88.87
B017LKVEBA,209.99
B00C2DTRPW,249.99
B00X140BEW,48.56
B00472OBBQ,154.24
B012ASF1WQ,178.24
B01ATFIHSM,146.49
B01M050N05,746.21
B01I7TTI3A,50.81
B06XFW7R7W,58.81
B0111MRL4S,326.48
B074VFPQ8G,251.49
B01DP5JHHI,101.87
B011SGHGT2,243.99
B00FEKP6LY,57.06
B00N3RW64K,328.48
B010EC58EQ,440.48
B0733VW5QB,561.71
B01M5FSTXY,220.49
B0719LZMYG,228.99
B079GPFLT1,126.62
B010FH2QOK,283.98
B00KZYOICM,142.49
B00O99LPK2,134.74
B01L2U1OI8,142.99
B00V5Q1N1I,39.81
B06ZYRWSQY,478.48
B01N9SSQ9E,1722.42
B072Z9ZGSZ,637.96
B0044779H2,199.99
B00LVA3NMU,168.06
B013MCJ6BG,368.62
B00GI2UR6Q,88.53
B00746UR2E,354.62
B006MRAVFE,38.39
B00NTJKAXG,76.78
B01N1Q6V7K,116.78
B01MT67O7K,241.56
B00LG0BAMK,419.62
B01LQQHKZY,186.56
B01NBX1Q2T,357.87
B071FJ4NFF,65.53
B076CTK55W,251.56
B01LW9P83Z,527.24
B0013MYXDO,114.03
B00W8T2DPQ,244.06
B0038JVDHO,328.12
B01HAP0A5M,624.99
B007Z92RIW,55.14
B012ASAWNE,70.78
B0046RE04A,126.78
B073JHHNJ9,87.03
B074NG842Z,601.24
B01FWIEIRU,1716.73
B01G95INDK,301.37
B01N4NVMKR,699.99
B005TI1BM4,91.53
B000YTRFEG,270.12
B01MAVWLED,765.24
B009NKQEWQ,893.74
B01N280F73,143.56
B00IBJ3OBO,64.19
B073H552FJ,304.76
B0013N0U9O,128.63
B0112SOCUM,866.52
B00G3P9UMU,24.11
B00H288CVW,353.76
B0763X2JJC,153.13
B00OD3AL3G,548.52
